,feature,2011
0,worst,0.011570074279926953
1,money,0.0074489559940453766
2,great,0.007198165566445207
3,movie,0.006983933997737199
4,film,0.006932466253093546
5,spoilers,0.006210298850003913
6,best,0.0054852225958226435
7,make,0.004155997239879512
8,disappointed,0.0037093505936857743
9,screening,0.0037042452566386818
10,seriously,0.0034185705721539545
11,garbage,0.0034070771282950587
12,good,0.0030603928292212306
13,bad,0.0030231287306145102
14,waste,0.0030209126494465896
15,brilliant,0.002960639258055268
16,poor,0.002949979855377946
17,surprised,0.002923006293741836
18,stupid,0.0026661562805970268
19,hilarious,0.002642291336645589
20,drama,0.0025068002616145993
21,thought,0.00245079578865305
22,theme,0.0024217901305784084
23,boring,0.002415091957770361
24,shows,0.002378303263728434
25,star,0.002338551177088204
26,premise,0.0022732299320345943
27,terrible,0.002233409608261961
28,tron,0.0021544459099637663
29,kid,0.0021375376367015484
30,disappointment,0.0021372468594043886
31,tried,0.0020705089410301427
32,fun,0.002026866294495501
33,flat,0.0019453422883724044
34,plot,0.001937817655612756
35,love,0.0019243814236945087
36,time,0.0017847645521535719
37,painful watch,0.0017779290785954354
38,ah,0.0017673401005230687
39,start,0.0017617209816382662
40,contains,0.0017548028366746466
41,really,0.0017363042632613976
42,genre,0.0017309299788490096
43,predictable,0.0016997559183192582
44,worse,0.0016968528024793605
45,awful,0.0016693555631583415
46,wooden,0.0016689312309413247
47,probably,0.0016674028074828283
48,ahead,0.0016478786425411004
49,boys,0.001646689935297924
50,fan,0.0016309115205615774
51,cheap,0.001616319044894066
52,unfortunately,0.0016094458994326967
53,feel,0.001609086449622001
54,annoying,0.0015826018571216817
55,didn,0.001572898917485759
56,trying,0.0015686263944390618
57,forced,0.0015400337816398799
58,right,0.0015277110032008018
59,said,0.0015102769006552427
60,look,0.0015047503228558402
61,like,0.0014888881547510042
62,thought movie,0.0014875572934494527
63,looks like,0.0014655277614548316
64,definitely,0.0014522036095845929
65,dark,0.0014503133858467998
66,unbelievable,0.0014266245655678688
67,big,0.001406844786503667
68,guy,0.001399440500049841
69,dimensional,0.0013988642828511554
70,seen,0.0013960649688262764
71,entire,0.001380832610915781
72,heard,0.0013694162124826084
73,finally,0.0013583348655302001
74,lot,0.0013546632907974676
75,went,0.0013336699705766622
76,action,0.001332999141073011
77,sce4m,0.0013044852130831973
78,wasted,0.001299496764591772
79,dumb,0.0012941070595047124
80,really wanted,0.0012821739832215404
81,let,0.001246202042183295
82,episodes,0.0012376933325991203
83,ll,0.00123645837534763
84,write,0.0012355147445224212
85,sucked,0.001235184114210899
86,waste time,0.0012299817758568386
87,directed,0.001222263780669244
88,pile,0.0012192578399767306
89,know,0.001216215243556033
90,charlie,0.0012107836946668308
91,really bad,0.0011979686330530204
92,isn,0.0011951551415757707
93,way,0.0011913630074723604
94,tv,0.0011870637042707625
95,anthony,0.0011787036578455863
96,example,0.0011752965884045876
97,solid,0.0011734646002651815
98,piece,0.001172026838095223
99,meets,0.0011646398265927412
