Rank,Review,Year
10,"Gilmore Girls is my favorite TV show of all times. they only aired the first 2 seasons in India but i've watched the rest on DVD or read it online. it's very refreshing to find a show where the protagonist isn't sneaking around her mother's back but has an open relationship with her. the chemistry between Lauren Graham and Alexis Bledel who play Lorelai and her daughter Rory is really great. all the acting is excellent and the characters, though extremely quirky, are still believable. the residents of stars hollow show all the amusing bizarreness of small town life, which is contrasted by the endless snobbishness and social norms that make up the high society life of Lorelai's parents. on one hand there are dance-athons and firelight festival's while on the hand you have cotillions, DAR meetings and cocktail parties. all the character's develop a lot and there's a happy ending for more or less everybody. there are dramatic elements but also a lot of very witty humor. Rory's boyfriends are all incredibly hot as are her friend Lane's. basically it's a cool, funny, very satisfying show which encompasses all the aspects of life and gives you a feeling of -if you work hard enough and wait patiently, you'll get what you want even if it wasn't what you intended.",2007
3,"When I first watch this series, the impression I got was that the characters were charming and funny, Lorelai and Rory in particular were witty and intelligent conversationalist albeit a bit too talkative. After watching it for some time, however, my opinion changed.",2008
7,"The Gilmore girls is about a mother who had a daughter when she was 16. Now the daughter is 16 (in season 1) and they live like sisters. Sharing everything, trusting each other completely.",2003
4,"Looking for something new to watch, I perused the ratings of various television shows and noticed that the ""Gilmore Girls"" had an astonishingly high 8.6 rating and was intrigued. I came to the show with absolutely no preconceptions The title indicated it might be a ""chick show"", though was not discouraged as I loved Buffy the Vampire Slayer and appreciate shows featuring strong female characters. So, I managed to find a copy of the first season, and set about watching it. From there, it was all downhill.",2007
1,"I tired on several attempts to sit down and watch this program ""Gilmore Girls"". It baffled me for I just couldn't put my finger on what this was about. Was this about a young woman having a baby young in life and never growing up? Was this about the daughter being more responsible than the mother? Was this about a rebellious rich girl and her non-rebellious daughter? What the heck is this show about? Finally, I just didn't care. The cast makes me want to scream. The writing is neither ""smart"" or ""intelligent"" it's syrupy and tedious.",2007
1,"First off, I've seen very few episodes. It's not that it is visually boring, but more the fact that the pointless back-and-forth banter and frequent ""witty"" sparring makes me want to pierce my own eardrums with an icepick. Unfortunately since giving up on the series, my roommate continues and the one thing I cannot escape is that same mind-numbing drone of characters spewing quick one-liners at each other.",2015
1,"This is an absolutely horrid excuse for a show. People say its witty and intelligence? I don't see how? Maybe because the characters use fancy words? Maybe because they are snooty, use dry humor, and have 2 dimensional personalities. I went to an Ivy league school and nobody acted anywhere near as obnoxious as these characters. In fact had I met someone like them I would have likely strangled them! The men act like little emotional pre-teen girls and all the minority characters are based off stereotypes... The characters are no AT ALL AUTHENTIC. Simply put they sound like a trailer park family trying to be rich and sophisticated. This show is just another cookie-cutter hit that brain-dead prime time viewers eat up on a regular basis.",2007
1,"Usually when I don't see a show on an original run, I find it later on cable and realize it's a gem. The ""Gimore Girls"" is one of those rare exceptions. I'm glad I missed it.",2008
1,"I decided to watch this show and give it a go but I found it to be boring, and more importantly dull.....Dull.",2008
9,"Remember the good old days of The WB airing classics like Dawson's Creek, Felicity and Everwood? Shows that had heart, warmth and realism were all the rage in the late 90s and early into the noughties. They made us feel for the characters and the story lines were smart, witty and heartfelt each time.",2010
