Review,Rank,Year
"This used to be my favorite of the L&O franchise, until Stabler left. The last several seasons have done nothing but shamelessly pander to a political agenda, rather than focus on engaging plots, as they once did. It's regrettable that this show has become such a disappointment. It feels like I'm watching a sinking ship.",5,2017
"Law & Order: Special Victims Unit is one of the best and most underrated shows on TV. It stars Christopher Meloni as Elliot Stabler, a tough-as-nails detective who makes his hatred of pedophiles and child molesters well known many times throughout the show. He has another side, a vicious side, that Criminal Intent's Robert Goren (Vincent D'Onofrio) lacks. I'm very pleased that he's been nominated for an Emmy. Mariska Hargitay won an Emmy for her performance as Olivia Benson, another fantastic detective. Benson has more edge than CI's Alex Eames (Kathrine Erbe), but is revered for her ability to communicate to troubled witnesses and gouge confessions out of suspects. Her life is put in danger at least twice a season, yet she continues to be strong. Next is the sarcastic detective Jon Munch, played by the excellent comedian Richard Belzer. Munch may seem annoying at times, but his ability to relate to witnesses is excellent, and he plays the ""good cop, bad cop"" role very well. The final detective is Finn Tutuola, played by former rapper Ice-T. Ice-T plays the character reasonably well, but I think we'd all like to see a meaner side of him. He was very good in the episodes entitled ""Rage,"" and ""Rooftop"". They are led by Don Cragen, played by Dann Florek, and Cragen is as good a captain as any, as Florek reprises his role he held on ""Law & Order"" for a few years. Adam Beach recently joined the show, bringing something new to the table in youth and his almost 'surfer dude' approach to detective work. The ADA now is Casey Novak, played by Diane Neal, who could be better, but she gets the job done. She's been better of late, and the contrast between her and her predecessor is really helpful to the show. Her predecessor, Alexandra Cabot (Stephanie March) was great also. The team is also aided by an FBI psychiatrist, George Huang (BD Wong), who aids them in finding out the true horrors of a person, witness or suspect. His best performance was in the episode called ""Coerced."" The members of this unit investigate sexually based crimes (rape, rape-homicide) and child based crimes (school shootings, child abuse, child molestation). The show has had extraordinary guest stars, from evil (Johnny Messner, Reg Flowers, Asio Highsmith, Jeff Kober) to touching (Leland Orser, Jerry Lewis) to lost (Brittany Snow) to famous and legendary actors (Jerry Lewis, Dean Cain, Chris ""Ludacris"" Bridges, Henry Winkler, Robin Williams, Matthew Modine, Alfred Molina, Cynthia Nixon, John Ritter). This is a truly great show that not only shows the line of work in this graphic department, but shows the emotional stress a detective goes through. 10/10",10,2005
"I started out liking this. But by season 5, it started to go very idiotic and on a warpath against religion. It is also full of ridiculous lines and plots.",1,2016
"I watched every episode of law and order, the makers of this show gives too much credit too mariska hargitay when meloni was in the show she pulled herself up but now al the show centeres around this bad actress the rest is pulling down also pls cut down her screen time she is really bad making the show bad, munch has been kicked off the show i liked that man with his conspiracy theori ice t ain't getting a real part the new ones they just don't kick it This show has so many potential but not with mariska the good interaction has gone away and i do not like to watch to the old and fully botoxed face with no expression on it get some new fresh good actors and write again don't write just read the news like u used to do but do something",6,2013
"This show used to be OK, but over the last couple of years it has lost the plot. It demonizes all men. It portrays men as abusers, and women as victims. This is not the real world. Instead of a balance in drama that reflects our world, it's nothing more than ratings hype. My family are about to stop watching this show.",2,2011
"In the dictionary of American TV jargon, this show is featured next to the phrase, ""Jumped the shark"". Here's why:",1,2010
"In the past I liked it often, with the New York dark side and continuous relevant references, though of course solving every crime with the right culprit was always hard to bare. But now I'd say please ignore the worst police shows ever.",1,2015
All of the other Law & Order shows have had realistic cast changes except this one. It is the same old same old. Benson and Stabler go running around and grab the wrong person. Benson always looks like she smells rotten fish and Stabler roughs up the suspect. They catch the wrong person within the first 15 minutes and then the real person strikes again. Benson stands slack jawed with her tongue poking out of her mouth and Stabler looks insulted that he arrested the wrong person.,1,2008
"I just finished watching ""Turmoil"" and I am aghast that those two have not been drummed out by the IAD. That squad has lost more detectives to ""bad"" behavior yet Stabler, especially him, continues to lose his mind and all manner of control in every situation, make terrible judgment calls and is basically a ticking time bomb every week. And can we figure out how to write some kind of dialogue that is appropriate to the job? Calling child rapists scumbags went the way of NYPD Blue and grossly inadequate. And can we stop nominating Mariska Hartigay for Emmys and Golden Globes? She's got only one expression that she uses for when she's confused by the evidence, taking a witness statement or placating ""El"" when he's gone off the deep end. I don't know why I continue to watch this freaking show. This is has gone the way of CSI:Miami. Straight up parody.",1,2009
"I still do not like the character of Olivia Benson being in charge of SVU as she is not good at it at all as she strictly is all for the females every time as far as victims go but then she doesn't trust or get totally along with Rollins maybe she sees her as a threat or something because Rollins sees & hears both sides males & females. They need to bring in somebody else to be in charge of SVU & bust Benson back down to just being a detective. The last & latest episode I'm on the fence or almost over the fence because the ""victim"" liked the guy when she first seen him telling her cousin he is hot & then the whole bathroom scene & other witnesses from the party said she was all over him even as they went outside. I do not think it warrants rape. Also in this episode Benson makes it sound like before we have sex every time we have to ask permission & wait for a firm definitive yes or no whether it's our wife or girlfriend or whomever & that way off point & wrong. Rape is or should be when somebody says no or is fighting you off while at the same time the perp doesn't care what the female is saying & forces it on her anyway.",10,2016
"The acting is haphazard, the characters are one dimensional and loathsome, and the writing is predictable and trashy. I hate this show so much, the only reason I joined IMDb was to communicate to the world how odious this show is. Please, if it is remotely within your capacity, take this show off the air. If you have a positive view of the world, of humanity, the government, or the criminal justice system, do not watch this show. It not only communicates the sensationalized myth of the need for fear, but it also depicts public officials as sinister, self- righteous villains for whom if violence could ever be justified, it would be justified against the characters portrayed as protagonists in this show.",1,2011
"L&O: SVU is by far the worst of the L&O franchise, and one of the worst shows ever to appear on TV, any network, any language: ",1,2009
"Back when Law & Order: Special Victims Unit was truly an ensemble show, it was excellent. Each week would focus mostly on one character - the best episodes being the Munch-centric ones - showing us a case from beginning to end.",4,2010
"This film was absolutely incredible. Attempting to explain the plot in any way that would do it justice would be an excercise in futility, but let it be said that I see many, many movies, and in my lifetime, I have never seen a movie such as Being John Malkovitch.",10,1999
"Being John Malkovich leaves you astounded. What happened in that dark theater? Twist and turn, one thing more fantastical than the next, this movie is 100 % UNIQUE. Even the introduction and the setting of the film are outlandish to say the least. The movie develops quickly, plummetting viewers into the warped world it creates; while the surroundings are strange, they are presented without leaving the audience convinced and I found that my questions about Malkovich's mysterious portal, such as ""What happens if John Malkovich goes into his own portal?"", were answered.",10,1999
